StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      105,      00,   196601,    .75,   10.5,   3.77,   3.77,    .81,   3.55,      0,   1643,    -.3,   -.54,   -.83,     .4,   1.26,   1.01,   1.06,     .1,   20.8,
      103,      00,   196601,   2.81,   24.7,    .03,   -.88,    .08,    -.7,      0,   1308,    .02,   -.82,  -1.37,   -.33,   -.71,   -.41,   -.33,   15.8,   33.6,
      104,      00,   196601,   5.48,   40.9,    .85,    .85,   2.55,    .85,     18,    687,   1.15,   -.06,   -.52,    -.7,   -.51,   -.08,   1.02,   31.3,   50.4,
      109,      00,   196601,    1.9,   36.1,   2.94,   2.94,    .27,   2.94,      0,    644,   -.41,   -.08,    .76,    .62,    .58,    .09,    .01,   25.6,   46.6,
      106,      00,   196601,   2.59,   36.8,  -2.43,  -2.43,   -.57,  -2.43,      3,    768,    .46,    .38,   -.28,   -.12,   -.21,   -.33,   -.48,   26.5,     47,
      102,      00,   196602,      1,   16.8,   3.46,   3.46,     .2,   3.46,      0,   1252,      0,   -.29,    .69,   1.82,   1.23,   1.77,   1.28,    6.5,   27.1,
      101,      00,   196602,    2.9,   23.2,  -3.87,  -3.87,    .34,  -3.49,      0,   1038,    .29,    .33,   -.73,    -.7,  -1.44,  -2.46,   -2.8,   13.6,   32.8,
      103,      00,   196602,   3.11,   31.9,    .28,    .28,    .76,    .28,      0,    970,    .53,    .23,   -.53,   -.35,   -.31,    -.4,   -.22,   22.8,     41,
      108,      00,   196602,   2.12,   30.8,   -1.8,   -1.8,     -2,   -1.8,      0,    764,   -.95,    -.4,   -.62,   -.98,   -.63,  -1.14,    .26,   22.3,   39.2,
      104,      00,   196602,   5.99,   45.9,   1.72,   1.72,   2.87,   1.72,     23,    498,   1.41,   1.76,    .68,    .11,    .49,    .13,   1.11,   35.6,   56.3,
      107,      00,   196602,    .85,   30.4,   3.72,   3.72,    .92,   3.72,      0,    880,   -.15,    -.6,    .97,    .98,   1.48,   1.46,    .74,   17.9,     43,
      106,      00,   196602,   3.52,     42,  -1.67,  -1.67,   1.55,   -.93,      3,    555,   1.44,    1.2,    .99,    .29,    .02,   -.29,   -.29,   30.5,   53.4,
      105,      00,   196602,    .66,   17.4,   3.66,   3.66,    .83,   3.66,      0,   1264,   -.57,   -.62,    -.8,    .17,    .88,    .99,   1.06,    6.4,   28.4,
