StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      101,      00,   195012,   3.94,   25.1,   1.43,   1.43,    .94,   1.43,      0,   1112,    .56,   1.67,    .98,    .56,    .03,    .46,    -.5,   17.1,   33.1,
      103,      00,   195012,   1.86,     27,   3.55,   3.55,   -.86,   3.16,      0,   1252,  -1.12,   -.28,   -.84,    .08,    .26,   1.62,   1.83,   17.5,   36.5,
      107,      00,   195012,    .41,   37.8,  -4.02,  -4.02,  -2.57,  -4.02,      2,    739,  -1.24,   -1.4,  -1.95,   -1.2,  -1.77,   -1.9,    -.8,   23.5,   52.1,
      109,      00,   195012,   2.97,   44.1,   1.24,   1.24,    .25,   1.24,      0,    428,     .4,    .83,   1.26,   1.22,    .87,    .52,   -.45,   34.4,   53.8,
      102,      00,   195012,   1.47,   12.9,    .01,  -1.17,    .04,  -1.06,      0,   1521,    .47,   -.13,   -.58,    -.8,   -.52,   -.09,   -.31,    4.2,   21.5,
      108,      00,   195012,   5.16,   34.8,   2.92,   2.92,    .67,   2.92,      0,    742,    .35,    .44,   1.55,   1.34,    .93,   1.73,    .46,   29.3,   40.3,
      106,      00,   195012,   1.01,   42.6,  -1.94,    .85,   -2.4,  -1.62,      5,    590,  -1.85,  -2.04,  -2.14,   -.23,   -.13,    .09,    .84,   28.7,   56.5,
      103,      00,   195101,   4.07,   31.6,   3.75,   3.75,   1.71,   3.75,      0,   1103,    .84,   -.03,    .21,    .14,    .53,    .65,    1.3,   22.3,   40.9,
      102,      00,   195101,    .93,   10.9,    .02,  -1.05,    .01,   -.85,      0,   1533,   -.29,    .02,   -.31,  -1.27,   -.74,   -.43,   -.54,    1.4,   20.5,
      101,      00,   195101,   3.09,   25.1,   1.31,   1.31,    .08,   1.27,      0,   1074,    .14,    .41,   1.47,    .68,    .22,    .26,   -.65,     16,   34.2,
      104,      00,   195101,   1.89,   46.5,   -.94,   -.94,  -2.69,   -.94,     25,    545,  -1.63,  -1.04,  -1.48,   -.84,   -.37,   -.85,   -.58,   34.6,   58.5,
      106,      00,   195101,   2.43,   42.1,  -2.04,  -2.04,   -.89,  -2.04,     11,    598,     .3,   -.91,  -1.43,  -1.05,   -.01,   -.06,    .51,   28.9,   55.4,
      107,      00,   195101,   1.11,   31.5,  -3.68,  -3.68,   -.23,  -3.68,      0,    951,    .43,   -.48,   -.86,  -1.94,  -1.37,  -1.91,  -1.16,   18.2,   44.8,
      109,      00,   195101,   2.84,   37.7,   1.24,   1.24,     .4,   1.24,      0,    612,    .18,    .28,    .62,    .93,    .81,    .32,   -.34,   27.9,   47.5,
      108,      00,   195101,   5.76,   26.5,   3.16,   3.16,   1.61,   3.16,      0,    977,    .81,    .71,    .71,   1.54,   1.24,   1.58,   1.13,   19.5,   33.5,
      105,      00,   195101,    .84,   13.7,   2.09,   2.09,    .47,   2.01,      0,   1535,    .02,   -.41,   -.21,    .25,   -.01,      0,   -.25,      3,   24.4,
      101,      00,   195102,   4.06,     26,   2.03,   2.03,   2.57,   2.03,      0,    957,    1.4,    .99,   1.04,   1.02,    .79,    .41,   -.44,   16.2,   35.7,
      107,      00,   195102,    .62,   35.9,  -3.82,  -3.82,  -1.57,  -3.82,      2,    727,   -.72,   -.16,   -.78,  -1.38,  -1.22,  -1.83,  -1.21,   22.2,   49.6,
      102,      00,   195102,   1.81,   17.6,    .74,    .74,   2.18,    .74,      0,   1253,   1.64,    .89,    .89,   -.52,   -.62,   -.28,    -.4,    8.1,   27.2,
      108,      00,   195102,    4.6,   31.6,    3.4,    3.4,   1.69,    3.4,      0,    772,     .8,   1.11,    .97,   1.72,   1.71,   1.62,    .88,   23.6,   39.6,
      104,      00,   195102,   2.28,   48.1,   -1.6,   -1.6,  -2.25,   -1.6,     19,    450,  -1.21,  -1.93,   -1.5,  -1.08,   -.94,   -.86,   -.86,   35.1,   61.1,
      105,      00,   195102,    .97,     22,   2.27,   2.27,    1.2,   2.27,      0,   1143,    .79,    .41,   -.04,    .36,    .16,    .12,   -.21,     10,   34.1,
      106,      00,   195102,   2.31,   46.2,  -2.05,  -2.05,   -.68,  -2.05,      8,    453,    .13,    .28,   -.65,   -1.3,   -.17,   -.24,    .46,   33.3,   59.1,
      109,      00,   195102,   1.86,   40.5,   -.07,   1.04,   -.22,    .82,      0,    517,   -.35,   -.18,   -.02,    .72,    .62,    .33,    -.3,   29.7,   51.4,
